"site_col","ID","W","formula","presence","slopepos","cover_type","plot","mid_cm","max_reps","formulareps","include"
"Y1","08","H2O","C13H18O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H22O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H26O5",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C16H30O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C11H12O9",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C15H12O6",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C12H16O8",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H16O5",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C13H20O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H24O6",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C15H28O5",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C14H10O7",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C11H14O9",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C15H14O6",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C12H18O8",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C16H18O5",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C13H22O7",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C17H22O4",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C14H12O7",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C15H16O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H20O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C17H24O4",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C13H10O8",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C14H14O7",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C15H18O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H22O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C17H26O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C7H8O3N2S4",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C13H12O8",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C14H16O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H20O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H24O5",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C12H10O9",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C10H18O6S2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C13H14O8",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H18O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H22O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H26O3S1",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H26O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C18H34O3",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C19H38O2",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C9H16O7S2",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C12H12O9",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C18H8O3N2",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C16H12O6",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C13H16O8",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H20O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H24O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H28O5",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C17H32O4",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C8H16O9N1P1",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C15H10O7",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C12H14O9",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H14O6",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C13H18O8",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C10H23O8P1",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C17H18O5",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C14H23O5P1",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C14H22O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H26O6",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C16H30O5",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C15H12O7",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C12H16O9",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C9H21O9P1",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C16H16O6",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C13H20O8",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C17H20O5",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C18H24O4",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C14H10O8",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C15H14O7",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C16H18O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C17H22O5",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C18H26O4",1,"footslope","Open","B",34,3,6,TRUE
"Y1","08","H2O","C15H17O6N1",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C14H12O8",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C15H16O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H20O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C17H24O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C18H28O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H32O4S1",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C15H19O6N1",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C20H39O1N1",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C13H10O9",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C10H18O3N2S3",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C14H14O8",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H18O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H22O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C17H26O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H30O5S1",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C18H30O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C13H13O8N1",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C14H17O7N1",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C16H8O7",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C13H12O9",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H16O8",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H24O5S2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H20O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H24O6",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C17H28O3S1",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C17H28O5",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C18H32O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C20H40O2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C13H15O8N1",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C12H10O10",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C13H14O9",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C11H22O6S2",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C14H18O8",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C18H18O5",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C15H22O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H26O6",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C18H34O4",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C12H12O10",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C16H12O7",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C13H16O9",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C10H21O9P1",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C17H16O6",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C14H20O8",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C18H20O5",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C15H24O7",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C16H28O6",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C13H23O6N3",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C15H10O8",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C12H14O10",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C20H14O2S1",1,"footslope","Open","B",34,3,2,TRUE
"Y1","08","H2O","C16H14O7",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C13H18O9",1,"footslope","Open","B",34,3,4,TRUE
"Y1","08","H2O","C10H23O9P1",1,"footslope","Open","B",34,3,3,TRUE
"Y1","08","H2O","C17H18O6",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C14H22O8",1,"footslope","Open","B",34,3,5,TRUE
"Y1","08","H2O","C18H22O5",1,"footslope","Open","B",34,3,8,TRUE
"Y1","08","H2O","C15H26O7",1,"footslope","Open","B",34,3,7,TRUE
"Y1","08","H2O","C19H26O4",1,"footslope","Open","B",34,3,5,TRUE
