"Mass","formula","El_comp","HC","OC","AImod","NOSC","C","H","O","N","S","P","Class"
403.124576,"C17H24O11","CHO",1.41,0.65,0.0435,-0.1176,17,24,11,0,0,0,"unsaturated/lignin"
403.139838085714,"C21H24O8","CHO",1.14,0.38,0.3529,-0.381,21,24,8,0,0,0,"unsaturated/lignin"
403.14004,"C21H24O8","CHO",1.14,0.38,0.3529,-0.381,21,24,8,0,0,0,"unsaturated/lignin"
403.145753,"C14H28O13","CHO",2,0.93,-0.7333,-0.1429,14,28,13,0,0,0,"aliphatic"
403.160973666667,"C18H28O10","CHO",1.56,0.56,0,-0.4444,18,28,10,0,0,0,"aliphatic"
403.176269263158,"C22H28O7","CHO",1.27,0.32,0.2973,-0.6364,22,28,7,0,0,0,"unsaturated/lignin"
403.197360375,"C19H32O9","CHO",1.68,0.47,-0.0345,-0.7368,19,32,9,0,0,0,"aliphatic"
403.212618041667,"C23H32O6","CHO",1.39,0.26,0.25,-0.8696,23,32,6,0,0,0,"unsaturated/lignin"
403.233713,"C20H36O8","CHO",1.8,0.4,-0.0625,-1,20,36,8,0,0,0,"aliphatic"
403.2490784,"C24H36O5","CHO",1.5,0.21,0.2093,-1.0833,24,36,5,0,0,0,"aliphatic"
403.306537333333,"C22H44O6","CHO",2,0.27,-0.1053,-1.4545,22,44,6,0,0,0,"aliphatic"
404.13107,"C15H23O10N3","CHON",1.53,0.67,-0.2857,0.4,15,23,10,3,0,0,"aliphatic"
404.1351115,"C20H23O8N1","CHON",1.15,0.4,0.3333,-0.2,20,23,8,1,0,0,"unsaturated/lignin"
404.182715916667,"C20H27O6N3","CHON",1.35,0.3,0.2143,-0.3,20,27,6,3,0,0,"unsaturated/lignin"
404.203008,"C19H36O4N1S1P1","CHONSP",1.89,0.21,-0.1429,-1.2105,19,36,4,1,1,1,"aliphatic"
405.007546344828,"C21H10O7S1","CHOS",0.48,0.33,0.7576,0.2857,21,10,7,0,1,0,"condensed aromatic"
405.015321,"C23H6O6N2","CHON",0.26,0.26,0.9444,0.5217,23,6,6,2,0,0,"condensed aromatic"
405.043969235294,"C22H14O6S1","CHOS",0.64,0.27,0.6667,0,22,14,6,0,1,0,"condensed aromatic"
405.04623025,"C18H14O11","CHO",0.78,0.61,0.52,0.4444,18,14,11,0,0,0,"aromatic"
405.046459,"C18H14O11","CHO",0.78,0.61,0.52,0.4444,18,14,11,0,0,0,"aromatic"
405.070792,"C12H22O13S1","CHOS",1.83,1.08,-1.2222,0.5,12,22,13,0,1,0,"aliphatic"
405.0802865625,"C12H23O13P1","CHOP",1.92,1.08,-1.2222,0.25,12,23,13,0,0,1,"aliphatic"
405.0805275,"C12H23O13P1","CHOP",1.92,1.08,-1.2222,0.25,12,23,13,0,0,1,"aliphatic"
405.082700375,"C19H18O10","CHO",0.95,0.53,0.4286,0.1053,19,18,10,0,0,0,"unsaturated/lignin"
405.082915,"C19H18O10","CHO",0.95,0.53,0.4286,0.1053,19,18,10,0,0,0,"unsaturated/lignin"
405.101343,"C20H22O7S1","CHOS",1.1,0.35,0.3548,-0.3,20,22,7,0,1,0,"unsaturated/lignin"
405.103795,"C16H22O12","CHO",1.38,0.75,0,0.125,16,22,12,0,0,0,"unsaturated/lignin"
405.116924,"C13H27O12P1","CHOP",2.08,0.92,-1,-0.2308,13,27,12,0,0,1,"aliphatic"
405.119078,"C20H22O9","CHO",1.1,0.45,0.3548,-0.2,20,22,9,0,0,0,"unsaturated/lignin"
405.11934,"C20H22O9","CHO",1.1,0.45,0.3548,-0.2,20,22,9,0,0,0,"unsaturated/lignin"
405.124981,"C13H26O14","CHO",2,1.08,-1,0.1538,13,26,14,0,0,0,"aliphatic"
405.140329,"C17H26O11","CHO",1.53,0.65,-0.0435,-0.2353,17,26,11,0,0,0,"aliphatic"
