Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Y1_08_H2O,Y1_09_H2O,Y1_10_H2O,Y1_13_H2O,Y1_14_H2O,Y1_15_H2O,Y1_18_H2O,Y1_19_H2O,Y1_20_H2O,Y1_23_H2O,Y1_24_H2O,Y1_25_H2O,Y1_28_H2O,Y1_29_H2O,Y1_30_H2O,Y1_33_H2O,Y1_34_H2O,Y1_35_H2O,Y1_37_H2O,Y1_39_H2O,Y1_40_H2O,Y1_41_H2O,Y1_43_H2O,Y1_44_H2O,Y1_45_H2O,Y1_47_H2O,Y1_48_H2O,Y1_49_H2O,Y1_52_H2O,Y1_53_H2O,Y1_55_H2O,Y1_58_H2O,Y1_61_H2O,Y1_65_H2O,Y1_70_H2O,Y1_71_H2O,Y1_72_H2O,Y1_73_H2O,Y1_77_H2O,Y1_78_H2O,Y1_03_H2O,Y1_04_H2O
105.967596,0,0,0,0,0,0,0,0,,None,106.97487246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076566.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.013685,0,0,0,0,0,0,0,0,,None,107.02096146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069076.3,0
106.054931,0,0,0,0,0,0,0,0,,None,107.06220746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076727.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.090228,0,0,0,0,0,0,0,0,,None,107.09750446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051977.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.096121,0,0,0,0,0,0,0,0,,None,107.10339746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035445.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.102405666667,0,0,0,0,0,0,0,0,,None,107.109682133547,0,0,0,0,0,0,0,1043717.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1139282.3,0,0,0,0,0,1596045.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.102476333333,0,0,0,0,0,0,0,0,,None,107.109752800213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605627.4,0,0,0,1604582.5,0,0,0,0,0,1601118.9,0
106.1102,0,0,0,0,0,0,0,0,,None,107.11747646688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131412.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.124424,0,0,0,0,0,0,0,0,,None,107.13170046688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.133155,0,0,0,0,0,0,0,0,,None,107.14043146688,0,0,0,0,0,1075886.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.150292,0,0,0,0,0,0,0,0,,None,107.15756846688,0,0,0,0,0,0,1068388.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.16692,0,0,0,0,0,0,0,0,,None,107.17419646688,0,0,0,0,0,0,0,0,0,0,0,1043308.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.251879,0,0,0,0,0,0,0,0,,None,107.25915546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117000.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.270143,0,0,0,0,0,0,0,0,,None,107.27741946688,0,0,0,1037434.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
