Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Bog_01_CHCl3,Bog_02_CHCl3,Bog_03_CHCl3,Bog_04_CHCl3,Bog_05_CHCl3,Bog_06_CHCl3,Bog_07_CHCl3,Bog_08_CHCl3,Bog_09_CHCl3,Bog_10_CHCl3,Bog_11_CHCl3,Bog_12_CHCl3,Bog_13_CHCl3,Bog_14_CHCl3,Bog_15_CHCl3,Bog_16_CHCl3,Bog_18_CHCl3,Bog_19_CHCl3,Bog_21_CHCl3,FB_01_CHCl3,FB_02_CHCl3,FB_03_CHCl3,FB_04_CHCl3,LC_01_CHCl3,LC_02_CHCl3
107.816191,0,0,0,0,0,0,0,0,,None,108.82346746688,0,0,0,0,0,0,1095816.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.817019,0,0,0,0,0,0,0,0,,None,108.82429546688,0,0,1107089.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.858752,0,0,0,0,0,0,0,0,,None,108.86602846688,0,0,0,0,1034870.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.878412,0,0,0,0,0,0,0,0,,None,108.88568846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058981.9,0,0,0,0,0,0,0,0,0
107.878792,0,0,0,0,0,0,0,0,,None,108.88606846688,0,0,0,0,0,0,0,0,0,0,0,0,0,1098214.3,0,0,0,0,0,0,0,0,0,0,0,0,0
107.878906,0,0,0,0,0,0,0,0,,None,108.88618246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065982.9,0
107.940729,0,0,0,0,0,0,0,0,,None,108.94800546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029222.3,0,0,0,0,0,0,0,0,0
107.958339,0,0,0,0,0,0,0,0,,None,108.96561546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026965.3,0,0,0,0,0,0,0,0,0,0,0
107.968231,0,0,0,0,0,0,0,0,,None,108.97550746688,0,0,0,0,0,1028979.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.969838,0,0,0,0,0,0,0,0,,None,108.97711446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047168.6,0,0
107.987401,0,0,0,0,0,0,0,0,,None,108.99467746688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044322,0,0,0,0,0,0,0,0
108.012205,0,0,0,0,0,0,0,0,,None,109.01948146688,0,0,0,0,1159750.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.041169,0,0,0,0,0,0,0,0,,None,109.04844546688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144228.3,0,0,0
108.054782,0,0,0,0,0,0,0,0,,None,109.06205846688,0,0,0,1033112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.090523,0,0,0,0,0,0,0,0,,None,109.09779946688,0,0,0,0,0,0,0,0,0,0,1195018.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.103606,0,0,0,0,0,0,0,0,,None,109.11088246688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125804.6,0,0,0,0,0,0,0,0,0
108.109297,0,0,0,0,0,0,0,0,,None,109.11657346688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252949.5,0
108.115465,0,0,0,0,0,0,0,0,,None,109.12274146688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108861.1,0
108.150892,0,0,0,0,0,0,0,0,,None,109.15816846688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029626.4,0,0
108.186467,0,0,0,0,0,0,0,0,,None,109.19374346688,0,0,0,0,0,0,0,1094474.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.212614,0,0,0,0,0,0,0,0,,None,109.21989046688,0,0,0,0,0,1107521.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.263721,0,0,0,0,0,0,0,0,,None,109.27099746688,0,0,0,0,0,0,0,0,0,0,0,0,0,1034866.9,0,0,0,0,0,0,0,0,0,0,0,0,0
108.268372,0,0,0,0,0,0,0,0,,None,109.27564846688,0,0,0,0,0,0,0,1041505.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.292908,0,0,0,0,0,0,0,0,,None,109.30018446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122655.5,0,0,0,0,0,0,0,0,0
